                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.599,                  4.799,                 1.3814,                 0.5381,                0.28361,                0.21754,                0.09149,                      0,                    inf,                      0,               0.073671,              0.0065823,              0.0065823
                      1,                 2.1484,                 2.2701,                 1.1349,                0.19968,                0.29753,                0.21344,                0.07974,                      0,                    inf,                      0,               0.046742,               0.012987,               0.012987
                      2,                 2.1993,                 2.1646,                  1.197,                0.22674,                0.25191,                0.17145,                0.06374,                      0,                    inf,                      0,               0.019549,               0.019127,               0.019127
                      3,                 2.2338,                 2.1027,                 1.2047,                0.31694,                0.33857,                0.25434,                0.09895,                      0,                    inf,                      0,               0.018812,               0.018812,               0.018812
                      4,                  2.174,                 1.9363,                 1.1632,                0.24654,                0.29164,                0.23564,                0.09223,                      0,                    inf,                      0,               0.018812,               0.018812,               0.018812
                      5,                 2.0834,                 1.8777,                 1.1452,                0.27422,                0.30739,                0.26985,                0.11095,                      0,                    inf,                      0,               0.018416,               0.018416,               0.018416
                      6,                 2.0846,                 1.8347,                 1.1362,                0.37685,                0.31979,                0.29822,                0.13108,                      0,                    inf,                      0,                0.01802,                0.01802,                0.01802
                      7,                 2.0499,                 1.7797,                 1.1161,                0.41489,                0.41713,                0.34229,                0.14159,                      0,                    inf,                      0,               0.017624,               0.017624,               0.017624
                      8,                 2.0346,                 1.7052,                 1.1104,                0.39212,                 0.3901,                0.34937,                0.15086,                      0,                    inf,                      0,               0.017228,               0.017228,               0.017228
                      9,                 2.0134,                 1.6995,                 1.1199,                0.43094,                 0.4512,                0.39346,                0.17673,                      0,                    inf,                      0,               0.016832,               0.016832,               0.016832
                     10,                 1.9686,                 1.6255,                 1.0889,                0.44424,                0.43849,                0.39038,                0.17599,                      0,                    inf,                      0,               0.016436,               0.016436,               0.016436
                     11,                 1.9642,                 1.6281,                 1.0975,                0.40928,                 0.4724,                0.39833,                0.17957,                      0,                    inf,                      0,                0.01604,                0.01604,                0.01604
                     12,                  1.942,                 1.5743,                 1.0849,                0.42588,                 0.4766,                0.39816,                0.17953,                      0,                    inf,                      0,               0.015644,               0.015644,               0.015644
                     13,                 1.9115,                 1.5744,                 1.0724,                0.40252,                0.49528,                0.41355,                0.18145,                      0,                    inf,                      0,               0.015248,               0.015248,               0.015248
                     14,                 1.8974,                 1.5398,                 1.0709,                0.43674,                0.47632,                0.42821,                0.19748,                      0,                    inf,                      0,               0.014852,               0.014852,               0.014852
                     15,                 1.8723,                 1.5431,                 1.0795,                0.42922,                0.53663,                 0.4444,                0.20314,                      0,                    inf,                      0,               0.014456,               0.014456,               0.014456
                     16,                 1.8658,                  1.482,                 1.0463,                0.43051,                0.51779,                0.43891,                0.19853,                      0,                    inf,                      0,                0.01406,                0.01406,                0.01406
                     17,                 1.8613,                 1.4546,                 1.0664,                 0.4619,                 0.5732,                0.47564,                0.21113,                      0,                    inf,                      0,               0.013664,               0.013664,               0.013664
                     18,                 1.8445,                  1.455,                 1.0661,                0.43278,                0.56828,                0.47145,                0.21827,                      0,                    inf,                      0,               0.013268,               0.013268,               0.013268
                     19,                 1.8067,                 1.3899,                 1.0469,                0.43612,                0.54959,                 0.4608,                0.21592,                      0,                    inf,                      0,               0.012872,               0.012872,               0.012872
                     20,                 1.8121,                 1.4051,                 1.0514,                0.45885,                  0.533,                0.45699,                0.20909,                      0,                    inf,                      0,               0.012476,               0.012476,               0.012476
                     21,                 1.8085,                 1.3965,                  1.045,                 0.4595,                 0.5593,                0.47548,                0.22673,                      0,                    inf,                      0,                0.01208,                0.01208,                0.01208
                     22,                 1.7728,                 1.3637,                  1.041,                0.46173,                 0.5882,                0.49172,                0.23015,                      0,                    inf,                      0,               0.011684,               0.011684,               0.011684
                     23,                 1.7777,                 1.3305,                 1.0342,                0.51392,                0.51532,                0.49054,                0.23342,                      0,                    inf,                      0,               0.011288,               0.011288,               0.011288
                     24,                 1.7746,                 1.3294,                 1.0345,                0.47337,                0.57108,                 0.4971,                0.24115,                      0,                    inf,                      0,               0.010892,               0.010892,               0.010892
                     25,                  1.752,                 1.2926,                 1.0274,                0.49129,                0.55873,                0.49751,                0.23343,                      0,                    inf,                      0,               0.010496,               0.010496,               0.010496
                     26,                 1.7383,                 1.2762,                 1.0211,                0.46195,                0.59802,                0.48932,                0.23216,                      0,                    inf,                      0,                 0.0101,                 0.0101,                 0.0101
                     27,                 1.7372,                 1.2768,                 1.0326,                0.47711,                0.62623,                0.52917,                0.24833,                      0,                    inf,                      0,               0.009704,               0.009704,               0.009704
                     28,                 1.6997,                 1.2343,                 1.0133,                0.50916,                0.58989,                0.52176,                0.24967,                      0,                    inf,                      0,               0.009308,               0.009308,               0.009308
                     29,                 1.6982,                  1.225,                 1.0118,                0.49654,                0.60572,                0.51419,                0.24691,                      0,                    inf,                      0,               0.008912,               0.008912,               0.008912
                     30,                 1.6752,                 1.2015,                 1.0057,                0.46402,                0.64806,                0.52363,                 0.2426,                      0,                    inf,                      0,               0.008516,               0.008516,               0.008516
                     31,                 1.6874,                 1.2108,                 1.0137,                 0.4899,                0.62396,                0.52367,                0.25582,                      0,                    inf,                      0,                0.00812,                0.00812,                0.00812
                     32,                 1.6705,                 1.1828,                 1.0101,                0.49945,                0.65665,                0.54474,                 0.2535,                      0,                    inf,                      0,               0.007724,               0.007724,               0.007724
                     33,                 1.6565,                 1.1511,                 1.0031,                0.47729,                0.63325,                 0.5283,                0.25143,                      0,                    inf,                      0,               0.007328,               0.007328,               0.007328
                     34,                 1.6403,                 1.1439,                 1.0034,                0.48569,                0.64292,                 0.5255,                0.25726,                      0,                    inf,                      0,               0.006932,               0.006932,               0.006932
                     35,                   1.62,                 1.1281,                  1.001,                0.49216,                0.67153,                0.54002,                0.26058,                      0,                    inf,                      0,               0.006536,               0.006536,               0.006536
                     36,                 1.6062,                 1.0956,                0.99869,                0.50321,                 0.6005,                 0.5391,                0.26045,                      0,                    inf,                      0,                0.00614,                0.00614,                0.00614
                     37,                 1.6067,                 1.0804,                0.98997,                0.52473,                0.62917,                0.55166,                 0.2676,                      0,                    inf,                      0,               0.005744,               0.005744,               0.005744
                     38,                 1.5821,                 1.0705,                0.98732,                0.50947,                0.62901,                0.54818,                0.27126,                      0,                    inf,                      0,               0.005348,               0.005348,               0.005348
                     39,                 1.5522,                  1.037,                0.97992,                0.50075,                0.65409,                0.54486,                0.27001,                      0,                    inf,                      0,               0.004952,               0.004952,               0.004952
                     40,                 1.5333,                 1.0029,                 1.0094,                0.54719,                0.60093,                0.55498,                0.26699,                      0,                    inf,                      0,               0.004556,               0.004556,               0.004556
                     41,                 1.5147,                0.98939,                 1.0061,                0.51399,                0.65231,                0.55949,                0.27322,                      0,                    inf,                      0,                0.00416,                0.00416,                0.00416
                     42,                 1.4982,                 0.9587,                0.99886,                0.51639,                0.66346,                0.54587,                0.26593,                      0,                    inf,                      0,               0.003764,               0.003764,               0.003764
                     43,                 1.4722,                0.92625,                0.99643,                0.52377,                0.65215,                0.54748,                0.27016,                      0,                    inf,                      0,               0.003368,               0.003368,               0.003368
                     44,                 1.4551,                0.91964,                0.99023,                0.50041,                0.63199,                 0.5474,                0.26389,                      0,                    inf,                      0,               0.002972,               0.002972,               0.002972
                     45,                 1.4451,                0.89799,                0.97996,                0.51938,                0.62157,                0.55241,                0.27077,                      0,                    inf,                      0,               0.002576,               0.002576,               0.002576
                     46,                  1.433,                 0.8887,                0.98193,                0.52194,                0.64457,                0.55354,                 0.2692,                      0,                    inf,                      0,                0.00218,                0.00218,                0.00218
                     47,                 1.4089,                 0.8632,                0.97684,                0.51343,                0.64745,                0.54036,                0.26905,                      0,                    inf,                      0,               0.001784,               0.001784,               0.001784
                     48,                 1.3992,                0.84399,                0.96921,                0.51865,                0.65704,                0.54691,                0.27163,                      0,                    inf,                      0,               0.001388,               0.001388,               0.001388
                     49,                 1.3839,                0.82242,                0.97183,                0.52444,                0.62822,                 0.5429,                0.26765,                      0,                    inf,                      0,               0.000992,               0.000992,               0.000992
